qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Protein Name	Genomic position	Organism	Entry Name	Gene Name	Keywords	Comments	ID
AUGUSTUS_g1.t1	tr|A0A453J5H9|A0A453J5H9_AEGTS	99.293	707	5	0	1	707	1	707	0.0	1451	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 4D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453J5H9_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453J5H9
AUGUSTUS_g1.t1	tr|A0A453J5I2|A0A453J5I2_AEGTS	99.365	630	4	0	78	707	17	646	0.0	1295	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 4D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453J5I2_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453J5I2
AUGUSTUS_g1.t1	tr|A0A453J5H8|A0A453J5H8_AEGTS	99.364	629	4	0	78	706	31	659	0.0	1293	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 4D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453J5H8_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453J5H8
AUGUSTUS_g1.t1	tr|A0A453J5I5|A0A453J5I5_AEGTS	99.356	621	4	0	87	707	1	621	0.0	1278	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Chromosome 4D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453J5I5_AEGTS	[]	['Reference proteome']	[]	A0A453J5I5
AUGUSTUS_g1.t1	tr|A0A453J5J1|A0A453J5J1_AEGTS	98.711	388	5	0	1	388	1	388	0.0	800	RecName: Full=RING-type domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 4D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453J5J1_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453J5J1
AUGUSTUS_g1.t1	tr|A0A453CEL6|A0A453CEL6_AEGTS	52.254	710	305	11	1	694	71	762	0.0	670	RecName: Full=RING-type domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453CEL6_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453CEL6
AUGUSTUS_g1.t1	tr|A0A453CEQ2|A0A453CEQ2_AEGTS	54.732	634	260	9	77	694	4	626	0.0	663	RecName: Full=RING-type domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453CEQ2_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453CEQ2
AUGUSTUS_g1.t1	tr|A0A453CER5|A0A453CER5_AEGTS	54.574	634	261	9	77	694	9	631	0.0	660	RecName: Full=RING-type domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453CER5_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453CER5
AUGUSTUS_g1.t1	tr|A0A453CEC6|A0A453CEC6_AEGTS	54.660	633	260	9	78	694	7	628	0.0	660	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453CEC6_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453CEC6
AUGUSTUS_g1.t1	tr|A0A453P3M8|A0A453P3M8_AEGTS	51.055	711	317	8	1	690	1	701	0.0	652	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 6D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453P3M8_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453P3M8
AUGUSTUS_g1.t1	tr|A0A453P3M4|A0A453P3M4_AEGTS	54.517	631	262	6	77	690	191	813	0.0	652	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453P3M4_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453P3M4
AUGUSTUS_g1.t1	tr|A0A453P3M1|A0A453P3M1_AEGTS	54.603	630	261	6	78	690	2	623	0.0	649	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 6D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453P3M1_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453P3M1
AUGUSTUS_g1.t1	tr|A0A453PZ70|A0A453PZ70_AEGTS	48.682	721	315	11	1	673	1	714	0.0	649	SubName: Full=Uncharacterized protein {ECO:0000313|EnsemblPlants:AET6Gv20923600.2};	Chromosome 6D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453PZ70_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453PZ70
AUGUSTUS_g1.t1	tr|A0A453P3P0|A0A453P3P0_AEGTS	54.603	630	261	6	78	690	2	623	0.0	649	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 6D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453P3P0_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453P3P0
AUGUSTUS_g1.t1	tr|A0A453CEE1|A0A453CEE1_AEGTS	54.487	624	257	9	87	694	1	613	0.0	647	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453CEE1_AEGTS	[]	['Reference proteome']	[]	A0A453CEE1
AUGUSTUS_g1.t1	tr|A0A453P3P2|A0A453P3P2_AEGTS	54.589	621	257	6	87	690	1	613	0.0	637	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 6D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453P3P2_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453P3P2
AUGUSTUS_g1.t1	tr|A0A453PZQ5|A0A453PZQ5_AEGTS	48.656	707	319	10	1	673	1	697	0.0	637	SubName: Full=Uncharacterized protein {ECO:0000313|EnsemblPlants:AET6Gv20923600.3};	Chromosome 6D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453PZQ5_AEGTS	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A453PZQ5
