
Seqid	Source	Type	Length	Start	End	Score	Strand	Phase	Attributes
wheat_53611	BLASTX	match	240	13168	13407	116	-	.	ID=BLASTX_match00001;description=Transcription factor MYB57 OS=Arabidopsis thaliana GN=MYB57 PE=2 SV=1;score=116;significance=3e-25
wheat_53611	BLASTX	match_part	240	13168	13407	290	-	.	Parent=BLASTX_match00001;Target=sp|Q9SSA1|MYB57_ARATH 22 101;score=290
wheat_53611	BLASTX	match	228	13168	13395	110	-	.	ID=BLASTX_match00002;description=Transcription factor GAMYB OS=Oryza sativa subsp. indica GN=GAM1 PE=2 SV=1;score=110;significance=2e-23
wheat_53611	BLASTX	match_part	228	13168	13395	274	-	.	Parent=BLASTX_match00002;Target=sp|A2WW87|GAM1_ORYSI 41 116;score=274
wheat_53611	BLASTX	match	228	13168	13395	110	-	.	ID=BLASTX_match00003;description=Transcription factor GAMYB OS=Oryza sativa subsp. japonica GN=GAM1 PE=2 SV=1;score=110;significance=2e-23
wheat_53611	BLASTX	match_part	228	13168	13395	274	-	.	Parent=BLASTX_match00003;Target=sp|Q0JIC2|GAM1_ORYSJ 41 116;score=274
wheat_53611	BLASTX	match	228	13168	13395	109	-	.	ID=BLASTX_match00004;description=Transcription factor MYB21 OS=Arabidopsis thaliana GN=MYB21 PE=1 SV=1;score=109;significance=3e-23
wheat_53611	BLASTX	match_part	228	13168	13395	273	-	.	Parent=BLASTX_match00004;Target=sp|Q9LK95|MYB21_ARATH 21 96;score=273
wheat_53611	BLASTX	match	228	13168	13395	109	-	.	ID=BLASTX_match00005;description=Transcription factor MYB24 OS=Arabidopsis thaliana GN=MYB24 PE=1 SV=1;score=109;significance=3e-23
wheat_53611	BLASTX	match_part	228	13168	13395	273	-	.	Parent=BLASTX_match00005;Target=sp|Q9SPG9|MYB24_ARATH 18 93;score=273
wheat_53611	BLASTX	match	228	13168	13395	108	-	.	ID=BLASTX_match00006;description=Myb-related protein 305 OS=Antirrhinum majus GN=MYB305 PE=2 SV=1;score=108;significance=5e-23
wheat_53611	BLASTX	match_part	228	13168	13395	271	-	.	Parent=BLASTX_match00006;Target=sp|P81391|MYB05_ANTMA 14 89;score=271
wheat_53611	BLASTX	match	87	12905	12991	53.5	-	.	ID=BLASTX_match00007;description=Myb-related protein 305 OS=Antirrhinum majus GN=MYB305 PE=2 SV=1;score=53.5;significance=3e-06
wheat_53611	BLASTX	match_part	87	12905	12991	127	-	.	Parent=BLASTX_match00007;Target=sp|P81391|MYB05_ANTMA 87 115;score=127
wheat_53611	BLASTX	match	228	13168	13395	108	-	.	ID=BLASTX_match00008;description=Transcription factor MYB12 OS=Arabidopsis thaliana GN=MYB12 PE=2 SV=1;score=108;significance=7e-23
wheat_53611	BLASTX	match_part	228	13168	13395	270	-	.	Parent=BLASTX_match00008;Target=sp|O22264|MYB12_ARATH 13 88;score=270
wheat_53611	BLASTX	match	228	13168	13395	107	-	.	ID=BLASTX_match00009;description=Myb-related protein 340 OS=Antirrhinum majus GN=MYB340 PE=2 SV=1;score=107;significance=2e-22
wheat_53611	BLASTX	match_part	228	13168	13395	267	-	.	Parent=BLASTX_match00009;Target=sp|P81396|MYB40_ANTMA 14 89;score=267
wheat_53611	BLASTX	match	228	13168	13395	107	-	.	ID=BLASTX_match00010;description=Transcription repressor MYB5 OS=Arabidopsis thaliana GN=MYB5 PE=1 SV=1;score=107;significance=2e-22
wheat_53611	BLASTX	match_part	228	13168	13395	266	-	.	Parent=BLASTX_match00010;Target=sp|Q38850|MYB5_ARATH 24 99;score=266
wheat_53611	BLASTX	match	87	12905	12991	52.0	-	.	ID=BLASTX_match00011;description=Transcription repressor MYB5 OS=Arabidopsis thaliana GN=MYB5 PE=1 SV=1;score=52.0;significance=8e-06
wheat_53611	BLASTX	match_part	87	12905	12991	123	-	.	Parent=BLASTX_match00011;Target=sp|Q38850|MYB5_ARATH 97 125;score=123
wheat_53611	BLASTX	match	228	13168	13395	106	-	.	ID=BLASTX_match00012;description=Transcription factor MYB86 OS=Arabidopsis thaliana GN=MYB86 PE=2 SV=1;score=106;significance=3e-22
wheat_53611	BLASTX	match_part	228	13168	13395	265	-	.	Parent=BLASTX_match00012;Target=sp|Q8LPH6|MYB86_ARATH 13 88;score=265
wheat_53611	BLASTX	match	228	13168	13395	105	-	.	ID=BLASTX_match00013;description=Myb-related protein P OS=Zea mays GN=P PE=2 SV=1;score=105;significance=5e-22
wheat_53611	BLASTX	match_part	228	13168	13395	263	-	.	Parent=BLASTX_match00013;Target=sp|P27898|MYBP_MAIZE 13 88;score=263
wheat_53611	BLASTX	match	585	12811	13395	105	-	.	ID=BLASTX_match00014;description=Anthocyanin regulatory C1 protein OS=Zea mays GN=C1 PE=2 SV=1;score=105;significance=5e-22
wheat_53611	BLASTX	match_part	585	12811	13395	263	-	.	Parent=BLASTX_match00014;Target=sp|P10290|MYBC_MAIZE 13 181;score=263
wheat_53611	BLASTX	match	231	13168	13398	105	-	.	ID=BLASTX_match00015;description=Transcription factor WER OS=Arabidopsis thaliana GN=WER PE=1 SV=1;score=105;significance=8e-22
wheat_53611	BLASTX	match_part	231	13168	13398	261	-	.	Parent=BLASTX_match00015;Target=sp|Q9SEI0|WER_ARATH 16 92;score=261
wheat_53611	BLASTX	match	246	13168	13413	105	-	.	ID=BLASTX_match00016;description=Transcription factor MYB59 OS=Arabidopsis thaliana GN=MYB59 PE=2 SV=2;score=105;significance=8e-22
wheat_53611	BLASTX	match_part	246	13168	13413	261	-	.	Parent=BLASTX_match00016;Target=sp|Q4JL84|MYB59_ARATH 3 84;score=261
wheat_53611	BLASTX	match	105	12887	12991	58.2	-	.	ID=BLASTX_match00017;description=Transcription factor MYB59 OS=Arabidopsis thaliana GN=MYB59 PE=2 SV=2;score=58.2;significance=1e-07
wheat_53611	BLASTX	match_part	105	12887	12991	139	-	.	Parent=BLASTX_match00017;Target=sp|Q4JL84|MYB59_ARATH 82 117;score=139
wheat_53611	BLASTX	match	225	13168	13392	105	-	.	ID=BLASTX_match00018;description=Transcription factor MYB3 OS=Arabidopsis thaliana GN=MYB3 PE=1 SV=1;score=105;significance=8e-22
wheat_53611	BLASTX	match_part	225	13168	13392	261	-	.	Parent=BLASTX_match00018;Target=sp|Q9S9K9|MYB3_ARATH 14 88;score=261
wheat_53611	BLASTX	match	102	12890	12991	52.8	-	.	ID=BLASTX_match00019;description=Transcription factor MYB3 OS=Arabidopsis thaliana GN=MYB3 PE=1 SV=1;score=52.8;significance=5e-06
wheat_53611	BLASTX	match_part	102	12890	12991	125	-	.	Parent=BLASTX_match00019;Target=sp|Q9S9K9|MYB3_ARATH 86 119;score=125
wheat_53611	BLASTX	match	228	13168	13395	105	-	.	ID=BLASTX_match00020;description=Transcription factor MYB108 OS=Arabidopsis thaliana GN=MYB108 PE=1 SV=1;score=105;significance=8e-22
wheat_53611	BLASTX	match_part	228	13168	13395	261	-	.	Parent=BLASTX_match00020;Target=sp|Q9LDE1|MY108_ARATH 20 95;score=261
wheat_53611	BLASTX	match	198	12794	12991	52.8	-	.	ID=BLASTX_match00021;description=Transcription factor MYB108 OS=Arabidopsis thaliana GN=MYB108 PE=1 SV=1;score=52.8;significance=5e-06
wheat_53611	BLASTX	match_part	198	12794	12991	125	-	.	Parent=BLASTX_match00021;Target=sp|Q9LDE1|MY108_ARATH 93 152;score=125
wheat_53611	BLASTX	match	225	13168	13392	104	-	.	ID=BLASTX_match00022;description=Transcription repressor MYB6 OS=Arabidopsis thaliana GN=MYB6 PE=1 SV=1;score=104;significance=1e-21
wheat_53611	BLASTX	match_part	225	13168	13392	260	-	.	Parent=BLASTX_match00022;Target=sp|Q38851|MYB6_ARATH 14 88;score=260
wheat_53611	BLASTX	match	228	13168	13395	103	-	.	ID=BLASTX_match00023;description=Transcription factor MYB39 OS=Arabidopsis thaliana GN=MYB39 PE=2 SV=1;score=103;significance=2e-21
wheat_53611	BLASTX	match_part	228	13168	13395	258	-	.	Parent=BLASTX_match00023;Target=sp|Q8GWP0|MYB39_ARATH 14 89;score=258
wheat_53611	BLASTX	match	237	13159	13395	103	-	.	ID=BLASTX_match00024;description=Myb-related protein Myb4 OS=Oryza sativa subsp. japonica GN=MYB4 PE=2 SV=2;score=103;significance=2e-21
wheat_53611	BLASTX	match_part	237	13159	13395	257	-	.	Parent=BLASTX_match00024;Target=sp|Q7XBH4|MYB4_ORYSJ 13 91;score=257
wheat_53611	BLASTX	match	87	12905	12991	53.1	-	.	ID=BLASTX_match00025;description=Myb-related protein Myb4 OS=Oryza sativa subsp. japonica GN=MYB4 PE=2 SV=2;score=53.1;significance=4e-06
wheat_53611	BLASTX	match_part	87	12905	12991	126	-	.	Parent=BLASTX_match00025;Target=sp|Q7XBH4|MYB4_ORYSJ 86 114;score=126
wheat_53611	BLASTX	match	225	13168	13392	103	-	.	ID=BLASTX_match00026;description=Myb-related protein Zm38 OS=Zea mays PE=2 SV=1;score=103;significance=3e-21
wheat_53611	BLASTX	match_part	225	13168	13392	256	-	.	Parent=BLASTX_match00026;Target=sp|P20025|MYB38_MAIZE 14 88;score=256
wheat_53611	BLASTX	match	231	13168	13398	103	-	.	ID=BLASTX_match00027;description=Transcription factor MYB23 OS=Arabidopsis thaliana GN=MYB23 PE=1 SV=1;score=103;significance=3e-21
wheat_53611	BLASTX	match_part	231	13168	13398	256	-	.	Parent=BLASTX_match00027;Target=sp|Q96276|MYB23_ARATH 12 88;score=256
wheat_53611	BLASTX	match	228	13168	13395	102	-	.	ID=BLASTX_match00028;description=Transcription factor MYB48 OS=Arabidopsis thaliana GN=MYB48 PE=2 SV=1;score=102;significance=5e-21
wheat_53611	BLASTX	match_part	228	13168	13395	254	-	.	Parent=BLASTX_match00028;Target=sp|Q9LX82|MYB48_ARATH 8 83;score=254
wheat_53611	BLASTX	match	105	12887	12991	58.2	-	.	ID=BLASTX_match00029;description=Transcription factor MYB48 OS=Arabidopsis thaliana GN=MYB48 PE=2 SV=1;score=58.2;significance=1e-07
wheat_53611	BLASTX	match_part	105	12887	12991	139	-	.	Parent=BLASTX_match00029;Target=sp|Q9LX82|MYB48_ARATH 81 116;score=139
wheat_53611	BLASTX	match	225	13168	13392	102	-	.	ID=BLASTX_match00030;description=Myb-related protein 330 OS=Antirrhinum majus GN=MYB330 PE=2 SV=1;score=102;significance=5e-21
wheat_53611	BLASTX	match_part	225	13168	13392	254	-	.	Parent=BLASTX_match00030;Target=sp|P81395|MYB30_ANTMA 14 88;score=254
wheat_53611	BLASTX	match	102	12890	12991	54.3	-	.	ID=BLASTX_match00031;description=Myb-related protein 330 OS=Antirrhinum majus GN=MYB330 PE=2 SV=1;score=54.3;significance=2e-06
wheat_53611	BLASTX	match_part	102	12890	12991	129	-	.	Parent=BLASTX_match00031;Target=sp|P81395|MYB30_ANTMA 86 119;score=129
wheat_53611	BLASTX	match	225	13168	13392	101	-	.	ID=BLASTX_match00032;description=Transcription repressor MYB4 OS=Arabidopsis thaliana GN=MYB4 PE=1 SV=1;score=101;significance=1e-20
wheat_53611	BLASTX	match_part	225	13168	13392	251	-	.	Parent=BLASTX_match00032;Target=sp|Q9SZP1|MYB4_ARATH 14 88;score=251
wheat_53611	BLASTX	match	225	13168	13392	100	-	.	ID=BLASTX_match00033;description=Myb-related protein Hv1 OS=Hordeum vulgare GN=MYB1 PE=2 SV=1;score=100;significance=2e-20
wheat_53611	BLASTX	match_part	225	13168	13392	249	-	.	Parent=BLASTX_match00033;Target=sp|P20026|MYB1_HORVU 14 88;score=249
