qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Protein Name	Genomic position	Organism	Entry Name	Gene Name	Keywords	Comments	ID
AUGUSTUS_g1.t1	tr|A0A9R0U508|A0A9R0U508_TRITD	96.893	708	20	2	1	707	1	707	0.0	1411	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 5a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0U508_TRITD	[{'ORFNames': ['TRITD_5Av1G244770 {ECO:0000313|EMBL:VAI25070.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0U508
AUGUSTUS_g1.t1	tr|A0A9R0TE61|A0A9R0TE61_TRITD	96.469	708	23	2	1	707	1	707	0.0	1407	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 4b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0TE61_TRITD	[{'ORFNames': ['TRITD_4Bv1G193380 {ECO:0000313|EMBL:VAI10711.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0TE61
AUGUSTUS_g1.t1	tr|A0A9R0WV51|A0A9R0WV51_TRITD	89.266	708	37	3	1	707	1	670	0.0	1244	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 5a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0WV51_TRITD	[{'ORFNames': ['TRITD_5Av1G244770 {ECO:0000313|EMBL:VAI25071.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0WV51
AUGUSTUS_g1.t1	tr|A0A9R1RPY9|A0A9R1RPY9_TRITD	52.388	712	304	11	1	694	1	695	0.0	671	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1RPY9_TRITD	[{'ORFNames': ['TRITD_2Bv1G181670 {ECO:0000313|EMBL:VAH49472.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]	A0A9R1RPY9
AUGUSTUS_g1.t1	tr|A0A9R1RAD2|A0A9R1RAD2_TRITD	52.254	710	309	9	1	694	1	696	0.0	668	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1RAD2_TRITD	[{'ORFNames': ['TRITD_2Av1G218410 {ECO:0000313|EMBL:VAH34101.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]	A0A9R1RAD2
AUGUSTUS_g1.t1	tr|A0A9R0YN33|A0A9R0YN33_TRITD	50.914	711	318	8	1	690	1	701	0.0	663	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0YN33_TRITD	[{'ORFNames': ['TRITD_6Bv1G133210 {ECO:0000313|EMBL:VAI58544.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0YN33
AUGUSTUS_g1.t1	tr|A0A9R1BBH5|A0A9R1BBH5_TRITD	50.914	711	318	8	1	690	1	701	0.0	662	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1BBH5_TRITD	[{'ORFNames': ['TRITD_6Bv1G133210 {ECO:0000313|EMBL:VAI58541.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1BBH5
AUGUSTUS_g1.t1	tr|A0A9R0YNV4|A0A9R0YNV4_TRITD	54.444	630	262	6	78	690	2	623	0.0	660	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0YNV4_TRITD	[{'ORFNames': ['TRITD_6Bv1G133210 {ECO:0000313|EMBL:VAI58543.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0YNV4
AUGUSTUS_g1.t1	tr|A0A9R1NZL4|A0A9R1NZL4_TRITD	54.167	648	263	9	70	694	45	681	0.0	659	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1NZL4_TRITD	[{'ORFNames': ['TRITD_2Av1G218410 {ECO:0000313|EMBL:VAH34099.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1NZL4
AUGUSTUS_g1.t1	tr|A0A9R1PTJ7|A0A9R1PTJ7_TRITD	54.167	648	263	9	70	694	45	681	0.0	658	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1PTJ7_TRITD	[{'ORFNames': ['TRITD_2Bv1G181670 {ECO:0000313|EMBL:VAH49470.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1PTJ7
AUGUSTUS_g1.t1	tr|A0A9R1RQ39|A0A9R1RQ39_TRITD	54.675	631	259	8	80	694	21	640	0.0	655	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1RQ39_TRITD	[{'ORFNames': ['TRITD_2Bv1G181670 {ECO:0000313|EMBL:VAH49473.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1RQ39
AUGUSTUS_g1.t1	tr|A0A9R1B4F5|A0A9R1B4F5_TRITD	48.199	722	317	11	1	673	1	714	0.0	654	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1B4F5_TRITD	[{'ORFNames': ['TRITD_6Av1G215810 {ECO:0000313|EMBL:VAI51119.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1B4F5
AUGUSTUS_g1.t1	tr|A0A9R1B4F4|A0A9R1B4F4_TRITD	48.133	723	318	11	1	673	1	716	0.0	653	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1B4F4_TRITD	[{'ORFNames': ['TRITD_6Av1G215810 {ECO:0000313|EMBL:VAI51121.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1B4F4
