
Seqid	Source	Type	Length	Start	End	Score	Strand	Phase	Attributes
wheat_53611	FGenesH	gene	4075	6532	10606	.	+	.	Name=FGENESH001;ID=gf001
wheat_53611	FGenesH	mRNA	4075	6532	10606	.	+	.	ID=gf001.1;Parent=gf001
wheat_53611	FGenesH	exon	231	6532	6762	21.81	+	.	Parent=gf001.1
wheat_53611	FGenesH	CDS	231	6532	6762	21.81	+	.	Parent=gf001.1
wheat_53611	FGenesH	exon	1893	8714	10606	120.25	+	.	Parent=gf001.1
wheat_53611	FGenesH	CDS	1893	8714	10606	120.25	+	.	Parent=gf001.1
wheat_53611	FGenesH	gene	923	12512	13434	.	-	.	Name=FGENESH002;ID=gf002
wheat_53611	FGenesH	mRNA	923	12512	13434	.	-	.	ID=gf002.1;Parent=gf002
wheat_53611	FGenesH	exon	216	12512	12727	9.77	-	.	Parent=gf002.1
wheat_53611	FGenesH	CDS	216	12512	12727	9.77	-	.	Parent=gf002.1
wheat_53611	FGenesH	exon	49	13072	13120	-7.58	-	.	Parent=gf002.1
wheat_53611	FGenesH	CDS	49	13072	13120	-7.58	-	.	Parent=gf002.1
wheat_53611	FGenesH	exon	266	13169	13434	33.00	-	.	Parent=gf002.1
wheat_53611	FGenesH	CDS	266	13169	13434	33.00	-	.	Parent=gf002.1
