qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	ID	Entry Name	Protein Name	Organism	Gene Name	Keywords	Comments
AUGUSTUS_g1.t1	tr|A0A3B6JR29|A0A3B6JR29_WHEAT	100.000	707	0	0	1	707	1	707	0.0	1462	A0A3B6JR29	A0A3B6JR29_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_063427 {ECO:0000313|EMBL:KAF7055962.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6KTP2|A0A3B6KTP2_WHEAT	97.034	708	19	2	1	707	1	707	0.0	1413	A0A3B6KTP2	A0A3B6KTP2_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_068949 {ECO:0000313|EMBL:KAF7062339.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6IWZ9|A0A3B6IWZ9_WHEAT	96.751	708	21	2	1	707	1	707	0.0	1412	A0A3B6IWZ9	A0A3B6IWZ9_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_059383 {ECO:0000313|EMBL:KAF7051106.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6JRF2|A0A3B6JRF2_WHEAT	94.767	707	0	1	1	707	1	670	0.0	1365	A0A3B6JRF2	A0A3B6JRF2_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_063427 {ECO:0000313|EMBL:KAF7055963.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6KU33|A0A3B6KU33_WHEAT	89.407	708	36	3	1	707	1	670	0.0	1246	A0A3B6KU33	A0A3B6KU33_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_068949 {ECO:0000313|EMBL:KAF7062340.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A1D5UGN6|A0A1D5UGN6_WHEAT	52.254	710	305	11	1	694	1	692	0.0	672	A0A1D5UGN6	A0A1D5UGN6_WHEAT	SubName: Full=Uncharacterized protein {ECO:0000313|EMBL:SPT19036.1};	Triticum aestivum (Wheat).	[{'ORFNames': ['CAMPLR22A2D_LOCUS3650 {ECO:0000313|EMBL:SPT19036.1}', 'CFC21_030745 {ECO:0000313|EMBL:KAF7017276.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6C9M5|A0A3B6C9M5_WHEAT	52.388	712	304	11	1	694	1	695	0.0	671	A0A3B6C9M5	A0A3B6C9M5_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_024428 {ECO:0000313|EMBL:KAF7009945.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6B201|A0A3B6B201_WHEAT	52.113	710	310	9	1	694	1	696	0.0	666	A0A3B6B201	A0A3B6B201_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_018002 {ECO:0000313|EMBL:KAF7002518.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6PP50|A0A3B6PP50_WHEAT	50.774	711	319	8	1	690	1	701	0.0	659	A0A3B6PP50	A0A3B6PP50_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_088425 {ECO:0000313|EMBL:KAF7084917.1}', 'CFC21_088426 {ECO:0000313|EMBL:KAF7084918.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6QFE3|A0A3B6QFE3_WHEAT	51.055	711	317	8	1	690	1	701	0.0	652	A0A3B6QFE3	A0A3B6QFE3_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_092853 {ECO:0000313|EMBL:KAF7090025.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
