qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Protein Name	Genomic position	Organism	Entry Name	Gene Name	Keywords	Comments	ID
FGENESH_gene2	tr|A0A453T8K4|A0A453T8K4_AEGTS	54.795	73	33	0	261	333	35	107	1.75e-19	84.3	RecName: Full=Nuclease HARBI1 {ECO:0008006|Google:ProtNLM};	Chromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453T8K4_AEGTS	[]	['Reference proteome']	[]	A0A453T8K4
FGENESH_gene2	tr|A0A453SB71|A0A453SB71_AEGTS	52.055	73	35	0	261	333	124	196	1.61e-16	80.9	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453SB71_AEGTS	[]	['Reference proteome']	[]	A0A453SB71
FGENESH_gene2	tr|A0A453A0Y1|A0A453A0Y1_AEGTS	52.055	73	35	0	261	333	121	193	5.76e-15	76.6	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 1D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453A0Y1_AEGTS	[]	['Reference proteome']	[]	A0A453A0Y1
FGENESH_gene2	tr|A0A453FL39|A0A453FL39_AEGTS	52.055	73	35	0	261	333	36	108	5.78e-15	76.6	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 3D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453FL39_AEGTS	[]	['Reference proteome']	[]	A0A453FL39
FGENESH_gene2	tr|A0A453CLY8|A0A453CLY8_AEGTS	49.315	73	37	0	261	333	36	108	2.14e-14	75.1	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453CLY8_AEGTS	[]	['Reference proteome']	[]	A0A453CLY8
FGENESH_gene2	tr|A0A453RCI8|A0A453RCI8_AEGTS	45.205	73	40	0	261	333	21	93	5.53e-14	69.3	RecName: Full=Nuclease HARBI1 {ECO:0008006|Google:ProtNLM};	Chromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453RCI8_AEGTS	[]	['Reference proteome']	[]	A0A453RCI8
FGENESH_gene2	tr|A0A453CWJ5|A0A453CWJ5_AEGTS	46.575	73	39	0	261	333	95	167	6.97e-14	71.2	SubName: Full=Uncharacterized protein {ECO:0000313|EnsemblPlants:AET2Gv20991300.1};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453CWJ5_AEGTS	[]	['Reference proteome']	[]	A0A453CWJ5
FGENESH_gene2	tr|A0A452ZS04|A0A452ZS04_AEGTS	46.575	73	39	0	261	333	85	157	9.39e-14	70.1	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 1D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A452ZS04_AEGTS	[]	['Reference proteome']	[]	A0A452ZS04
FGENESH_gene2	tr|A0A453J9E7|A0A453J9E7_AEGTS	45.205	73	40	0	261	333	95	167	1.66e-13	70.1	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 4D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453J9E7_AEGTS	[]	['Reference proteome']	[]	A0A453J9E7
FGENESH_gene2	tr|A0A453NF11|A0A453NF11_AEGTS	46.575	73	39	0	261	333	95	167	1.67e-13	70.1	SubName: Full=Uncharacterized protein {ECO:0000313|EnsemblPlants:AET6Gv20354700.1};	Chromosome 6D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453NF11_AEGTS	[]	['Reference proteome']	[]	A0A453NF11
FGENESH_gene2	tr|A0A452ZKT8|A0A452ZKT8_AEGTS	45.205	73	40	0	261	333	95	167	2.02e-13	69.7	RecName: Full=RNase III domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 1D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A452ZKT8_AEGTS	[]	['Reference proteome']	[]	A0A452ZKT8
FGENESH_gene2	tr|A0A452ZS14|A0A452ZS14_AEGTS	46.575	73	39	0	261	333	60	132	2.24e-13	68.6	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 1D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A452ZS14_AEGTS	[]	['Reference proteome']	[]	A0A452ZS14
FGENESH_gene2	tr|A0A453QUD8|A0A453QUD8_AEGTS	43.836	73	41	0	261	333	75	147	4.03e-13	68.6	RecName: Full=Nuclease HARBI1 {ECO:0008006|Google:ProtNLM};	Chromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453QUD8_AEGTS	[]	['Reference proteome']	[]	A0A453QUD8
FGENESH_gene2	tr|A0A453I8F6|A0A453I8F6_AEGTS	42.466	73	42	0	261	333	8	80	6.51e-13	65.9	RecName: Full=Nuclease HARBI1 {ECO:0008006|Google:ProtNLM};	Chromosome 4D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453I8F6_AEGTS	[]	['Reference proteome']	[]	A0A453I8F6
FGENESH_gene2	tr|A0A453KWG8|A0A453KWG8_AEGTS	42.466	73	42	0	261	333	8	80	1.39e-12	64.7	SubName: Full=Uncharacterized protein {ECO:0000313|EnsemblPlants:AET5Gv20536500.4};	Chromosome 1DChromosome 2DChromosome 3DChromosome 5DChromosome 6DChromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453KWG8_AEGTS	[]	['Reference proteome']	[]	A0A453KWG8
FGENESH_gene2	tr|A0A453HKI6|A0A453HKI6_AEGTS	43.836	73	41	0	261	333	113	185	1.45e-12	67.8	RecName: Full=Nuclease HARBI1 {ECO:0008006|Google:ProtNLM};	Chromosome 4D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453HKI6_AEGTS	[]	['Reference proteome']	[]	A0A453HKI6
FGENESH_gene2	tr|A0A453QAY9|A0A453QAY9_AEGTS	45.205	73	40	0	261	333	125	197	1.69e-12	67.8	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453QAY9_AEGTS	[]	['Reference proteome']	[]	A0A453QAY9
FGENESH_gene2	tr|A0A453BKN0|A0A453BKN0_AEGTS	44.928	69	38	0	260	328	57	125	2.66e-12	65.1	SubName: Full=Uncharacterized protein {ECO:0000313|EnsemblPlants:AET2Gv20544100.1};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453BKN0_AEGTS	[]	['Reference proteome']	[]	A0A453BKN0
FGENESH_gene2	tr|A0A453I7G4|A0A453I7G4_AEGTS	43.836	73	41	0	261	333	136	208	2.69e-12	69.3	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 4D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453I7G4_AEGTS	[]	['Reference proteome']	[]	A0A453I7G4
FGENESH_gene2	tr|A0A452XDY5|A0A452XDY5_AEGTS	43.836	73	41	0	261	333	8	80	2.76e-12	63.9	SubName: Full=Uncharacterized protein {ECO:0000313|EnsemblPlants:AET0Gv20070900.2};		Aegilops tauschii subsp. strangulata (Goatgrass).	A0A452XDY5_AEGTS	[]	['Reference proteome']	[]	A0A452XDY5
FGENESH_gene2	tr|A0A453LRT8|A0A453LRT8_AEGTS	42.466	73	42	0	261	333	95	167	3.77e-12	66.2	RecName: Full=Nuclease HARBI1 {ECO:0008006|Google:ProtNLM};	Chromosome 5D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453LRT8_AEGTS	[]	['Reference proteome']	[]	A0A453LRT8
FGENESH_gene2	tr|A0A453AUS6|A0A453AUS6_AEGTS	43.590	78	44	0	256	333	55	132	1.33e-11	67.0	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453AUS6_AEGTS	[]	['Reference proteome']	[]	A0A453AUS6
FGENESH_gene2	tr|A0A453QZX3|A0A453QZX3_AEGTS	39.726	73	44	0	261	333	77	149	1.42e-11	67.0	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453QZX3_AEGTS	[]	['Reference proteome']	[]	A0A453QZX3
FGENESH_gene2	tr|A0A453RDU0|A0A453RDU0_AEGTS	42.466	73	42	0	261	333	113	185	1.48e-11	65.1	RecName: Full=Nuclease HARBI1 {ECO:0008006|Google:ProtNLM};	Chromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453RDU0_AEGTS	[]	['Reference proteome']	[]	A0A453RDU0
FGENESH_gene2	tr|A0A453SR55|A0A453SR55_AEGTS	45.205	73	40	0	261	333	60	132	1.48e-11	67.0	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453SR55_AEGTS	[]	['Reference proteome']	[]	A0A453SR55
FGENESH_gene2	tr|A0A453QZN7|A0A453QZN7_AEGTS	39.726	73	44	0	261	333	71	143	1.52e-11	67.0	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453QZN7_AEGTS	[]	['Reference proteome']	[]	A0A453QZN7
FGENESH_gene2	tr|A0A453QZW8|A0A453QZW8_AEGTS	39.726	73	44	0	261	333	60	132	1.86e-11	66.6	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 7D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453QZW8_AEGTS	[]	['Reference proteome']	[]	A0A453QZW8
FGENESH_gene2	tr|A0A453DIR0|A0A453DIR0_AEGTS	39.726	73	44	0	261	333	235	307	2.49e-11	66.6	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453DIR0_AEGTS	[]	['Reference proteome']	[]	A0A453DIR0
FGENESH_gene2	tr|A0A453DIN9|A0A453DIN9_AEGTS	39.726	73	44	0	261	333	249	321	2.75e-11	66.6	RecName: Full=DDE Tnp4 domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453DIN9_AEGTS	[]	['Reference proteome']	[]	A0A453DIN9
FGENESH_gene2	tr|A0A453HGR7|A0A453HGR7_AEGTS	41.096	73	43	0	261	333	8	80	2.93e-11	61.2	SubName: Full=Uncharacterized protein {ECO:0000313|EnsemblPlants:AET4Gv20182800.1};	Chromosome 4D	Aegilops tauschii subsp. strangulata (Goatgrass).	A0A453HGR7_AEGTS	[]	['Reference proteome']	[]	A0A453HGR7
