qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Protein Name	Genomic position	Organism	Entry Name	Gene Name	Keywords	Comments	ID
FGENESH_gene1	tr|A0A9R0ZDN7|A0A9R0ZDN7_TRITD	31.111	45	31	0	254	298	164	208	4.3	31.6	RecName: Full=F-box domain-containing protein {ECO:0000259|PROSITE:PS50181};	Chromosome 7a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0ZDN7_TRITD	[{'ORFNames': ['TRITD_7Av1G157710 {ECO:0000313|EMBL:VAI76017.1}']}]	['Reference proteome']	[]	A0A9R0ZDN7
FGENESH_gene2	tr|A0A9R0VGX7|A0A9R0VGX7_TRITD	64.000	50	18	0	261	310	329	378	3.43e-13	72.0	SubName: Full=Uncharacterized protein {ECO:0000313|EMBL:VAH58613.1};	Chromosome 3a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0VGX7_TRITD	[{'ORFNames': ['TRITD_3Av1G047540 {ECO:0000313|EMBL:VAH58613.1}']}]	['Glycoprotein', 'Hydrolase', 'Reference proteome']	"[""SIMILARITY: Belongs to the 'GDSL' lipolytic enzyme family. {ECO:0000256|ARBA:ARBA00008668}.""]"	A0A9R0VGX7
FGENESH_gene2	tr|A0A9R1NJZ9|A0A9R1NJZ9_TRITD	41.667	72	42	0	261	332	22	93	1.27e-09	61.2	SubName: Full=Uncharacterized protein {ECO:0000313|EMBL:VAH26319.1};	Chromosome 2a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1NJZ9_TRITD	[{'ORFNames': ['TRITD_2Av1G027080 {ECO:0000313|EMBL:VAH26319.1}']}]	['Reference proteome']	[]	A0A9R1NJZ9
FGENESH_gene2	tr|A0A9R0XVJ2|A0A9R0XVJ2_TRITD	38.462	78	32	1	269	330	1033	1110	3.24e-08	57.8	RecName: Full=WD repeat-containing protein 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0XVJ2_TRITD	[{'ORFNames': ['TRITD_6Av1G030880 {ECO:0000313|EMBL:VAI43384.1}']}]	['Reference proteome']	[]	A0A9R0XVJ2
FGENESH_gene2	tr|A0A9R0TJ08|A0A9R0TJ08_TRITD	39.535	43	26	0	286	328	3	45	0.037	38.5	SubName: Full=Uncharacterized protein {ECO:0000313|EMBL:VAI14178.1};	Chromosome 5a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0TJ08_TRITD	[{'ORFNames': ['TRITD_5Av1G048480 {ECO:0000313|EMBL:VAI14178.1}']}]	['Activator', 'DNA-binding', 'Nucleus', 'Reference proteome', 'Transcription', 'Transcription regulation']	['SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.', 'SIMILARITY: Belongs to the plant ACBP60 protein family. {ECO:0000256|ARBA:ARBA00007214}.']	A0A9R0TJ08
FGENESH_gene2	tr|A0A9R1RDK0|A0A9R1RDK0_TRITD	48.148	27	14	0	276	302	536	562	0.92	33.9	RecName: Full=Molybdopterin biosynthesis protein CNX1 {ECO:0000256|RuleBase:RU365090}; AltName: Full=Molybdenum cofactor biosynthesis enzyme CNX1 {ECO:0000256|RuleBase:RU365090}; Includes: RecName: Full=Molybdopterin molybdenumtransferase {ECO:0000256|RuleBase:RU365090}; Short=MPT Mo-transferase {ECO:0000256|RuleBase:RU365090}; EC=2.10.1.1 {ECO:0000256|RuleBase:RU365090}; AltName: Full=Domain E {ECO:0000256|RuleBase:RU365090}; Includes: RecName: Full=Molybdopterin adenylyltransferase {ECO:0000256|RuleBase:RU365090}; Short=MPT adenylyltransferase {ECO:0000256|RuleBase:RU365090}; EC=2.7.7.75 {ECO:0000256|RuleBase:RU365090}; AltName: Full=Domain G {ECO:0000256|RuleBase:RU365090};	Chromosome 2a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1RDK0_TRITD	[{'ORFNames': ['TRITD_2Av1G270250 {ECO:0000313|EMBL:VAH37451.1}']}]	['Magnesium', 'Metal-binding', 'Molybdenum', 'Molybdenum cofactor biosynthesis {ECO:0000256|ARBA:ARBA00023150,', 'ECO:0000256|RuleBase:RU365090}', 'Reference proteome', 'Signal', 'Transferase']	['FUNCTION: Catalyzes two steps in the biosynthesis of the molybdenum cofactor. In the first step, molybdopterin is adenylated. Subsequently, molybdate is inserted into adenylated molybdopterin and AMP is released. {ECO:0000256|RuleBase:RU365090}.', 'CATALYTIC ACTIVITY: Reaction=molybdopterin + ATP + H(+) = adenylyl-molybdopterin +   diphosphate; Xref=Rhea:RHEA:31331, ChEBI:CHEBI:15378,   ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:58698,   ChEBI:CHEBI:62727; Evidence={ECO:0000256|RuleBase:RU365090};', 'CATALYTIC ACTIVITY: Reaction=adenylyl-molybdopterin + molybdate = Mo-molybdopterin + AMP +   H(+); Xref=Rhea:RHEA:35047, ChEBI:CHEBI:15378, ChEBI:CHEBI:36264,   ChEBI:CHEBI:62727, ChEBI:CHEBI:71302, ChEBI:CHEBI:456215;   Evidence={ECO:0000256|RuleBase:RU365090};', 'COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420;   Evidence={ECO:0000256|RuleBase:RU365090};', 'PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis. {ECO:0000256|ARBA:ARBA00005046, ECO:0000256|RuleBase:RU365090}.', 'SIMILARITY: Belongs to the MoeA family. {ECO:0000256|RuleBase:RU365090}.', 'SIMILARITY: In the C-terminal section; belongs to the MoeA family. {ECO:0000256|ARBA:ARBA00008339}.', 'SIMILARITY: In the N-terminal section; belongs to the MoaB/Mog family. {ECO:0000256|ARBA:ARBA00007589}.']	A0A9R1RDK0
FGENESH_gene2	tr|A0A9R0VRZ5|A0A9R0VRZ5_TRITD	36.232	69	31	3	261	318	509	575	6.1	31.6	RecName: Full=RRM domain-containing protein {ECO:0000259|PROSITE:PS50102};	Chromosome 3a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0VRZ5_TRITD	[{'ORFNames': ['TRITD_3Av1G261450 {ECO:0000313|EMBL:VAH68814.1}']}]	['Reference proteome', 'RNA-binding']	[]	A0A9R0VRZ5
FGENESH_gene3	tr|A0A9R0U508|A0A9R0U508_TRITD	98.390	621	10	0	1	621	87	707	0.0	1264	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 5a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0U508_TRITD	[{'ORFNames': ['TRITD_5Av1G244770 {ECO:0000313|EMBL:VAI25070.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0U508
FGENESH_gene3	tr|A0A9R0TE61|A0A9R0TE61_TRITD	97.585	621	15	0	1	621	87	707	0.0	1259	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 4b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0TE61_TRITD	[{'ORFNames': ['TRITD_4Bv1G193380 {ECO:0000313|EMBL:VAI10711.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0TE61
FGENESH_gene3	tr|A0A9R0WV51|A0A9R0WV51_TRITD	92.432	621	10	1	1	621	87	670	0.0	1169	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 5a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0WV51_TRITD	[{'ORFNames': ['TRITD_5Av1G244770 {ECO:0000313|EMBL:VAI25071.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0WV51
FGENESH_gene3	tr|A0A9R0YN33|A0A9R0YN33_TRITD	54.428	621	258	6	1	604	89	701	0.0	649	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0YN33_TRITD	[{'ORFNames': ['TRITD_6Bv1G133210 {ECO:0000313|EMBL:VAI58544.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0YN33
FGENESH_gene3	tr|A0A9R0YNV4|A0A9R0YNV4_TRITD	54.428	621	258	6	1	604	11	623	0.0	649	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0YNV4_TRITD	[{'ORFNames': ['TRITD_6Bv1G133210 {ECO:0000313|EMBL:VAI58543.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0YNV4
FGENESH_gene3	tr|A0A9R1NZL4|A0A9R1NZL4_TRITD	54.647	624	256	8	1	608	69	681	0.0	648	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1NZL4_TRITD	[{'ORFNames': ['TRITD_2Av1G218410 {ECO:0000313|EMBL:VAH34099.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1NZL4
FGENESH_gene3	tr|A0A9R1BBH5|A0A9R1BBH5_TRITD	54.428	621	258	6	1	604	89	701	0.0	647	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1BBH5_TRITD	[{'ORFNames': ['TRITD_6Bv1G133210 {ECO:0000313|EMBL:VAI58541.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1BBH5
FGENESH_gene3	tr|A0A9R1RAD2|A0A9R1RAD2_TRITD	54.647	624	256	8	1	608	84	696	0.0	645	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1RAD2_TRITD	[{'ORFNames': ['TRITD_2Av1G218410 {ECO:0000313|EMBL:VAH34101.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]	A0A9R1RAD2
FGENESH_gene3	tr|A0A9R1PTJ7|A0A9R1PTJ7_TRITD	54.487	624	257	8	1	608	69	681	0.0	645	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1PTJ7_TRITD	[{'ORFNames': ['TRITD_2Bv1G181670 {ECO:0000313|EMBL:VAH49470.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1PTJ7
FGENESH_gene3	tr|A0A9R1RQ39|A0A9R1RQ39_TRITD	54.487	624	257	8	1	608	28	640	0.0	644	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1RQ39_TRITD	[{'ORFNames': ['TRITD_2Bv1G181670 {ECO:0000313|EMBL:VAH49473.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1RQ39
FGENESH_gene3	tr|A0A9R1RPY9|A0A9R1RPY9_TRITD	54.487	624	257	8	1	608	83	695	0.0	644	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2b	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1RPY9_TRITD	[{'ORFNames': ['TRITD_2Bv1G181670 {ECO:0000313|EMBL:VAH49472.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]	A0A9R1RPY9
FGENESH_gene3	tr|A0A9R1B0Q6|A0A9R1B0Q6_TRITD	54.428	621	258	6	1	604	11	623	0.0	639	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R1B0Q6_TRITD	[{'ORFNames': ['TRITD_6Av1G145860 {ECO:0000313|EMBL:VAI47158.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R1B0Q6
FGENESH_gene3	tr|A0A9R0Y2S2|A0A9R0Y2S2_TRITD	54.428	621	258	6	1	604	90	702	0.0	638	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6a	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum).	A0A9R0Y2S2_TRITD	[{'ORFNames': ['TRITD_6Av1G145860 {ECO:0000313|EMBL:VAI47155.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A9R0Y2S2
