qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Protein Name	Genomic position	Organism	Entry Name	Gene Name	Keywords	Comments	ID
FGENESH_gene1	tr|A0A3B6RK58|A0A3B6RK58_WHEAT	31.111	45	31	0	254	298	164	208	3.0	31.6	RecName: Full=F-box domain-containing protein {ECO:0000259|PROSITE:PS50181};	Chromosome 7AChromosome 7A	Triticum aestivum (Wheat).	A0A3B6RK58_WHEAT	[{'ORFNames': ['CFC21_098101 {ECO:0000313|EMBL:KAF7096101.1}']}]	['Reference proteome']	[]	A0A3B6RK58
FGENESH_gene1	tr|A0A3B6LWC0|A0A3B6LWC0_WHEAT	30.000	80	52	3	81	160	62	137	5.6	31.2	RecName: Full=Phospholipase D {ECO:0000256|ARBA:ARBA00012027, ECO:0000256|PIRNR:PIRNR036470}; EC=3.1.4.4 {ECO:0000256|ARBA:ARBA00012027, ECO:0000256|PIRNR:PIRNR036470};	Chromosome 5BChromosome 5B	Triticum aestivum (Wheat).	A0A3B6LWC0_WHEAT	[{'ORFNames': ['CFC21_074856 {ECO:0000313|EMBL:KAF7069193.1}']}]	['Calcium', 'Hydrolase', 'Lipid degradation {ECO:0000256|ARBA:ARBA00022963,', 'ECO:0000256|PIRNR:PIRNR036470}', 'Lipid metabolism', 'Reference proteome']	['FUNCTION: Hydrolyzes glycerol-phospholipids at the terminal phosphodiesteric bond. {ECO:0000256|PIRNR:PIRNR036470}.', 'CATALYTIC ACTIVITY: Reaction=a 1,2-diacyl-sn-glycero-3-phosphocholine + H2O = a 1,2-diacyl-   sn-glycero-3-phosphate + choline + H(+); Xref=Rhea:RHEA:14445,   ChEBI:CHEBI:15354, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378,   ChEBI:CHEBI:57643, ChEBI:CHEBI:58608; EC=3.1.4.4;   Evidence={ECO:0000256|ARBA:ARBA00000798,   ECO:0000256|PIRNR:PIRNR036470};', 'COFACTOR: Name=Ca(2+); Xref=ChEBI:CHEBI:29108;   Evidence={ECO:0000256|ARBA:ARBA00001913,   ECO:0000256|PIRNR:PIRNR036470};', 'SIMILARITY: Belongs to the phospholipase D family. C2-PLD subfamily. {ECO:0000256|ARBA:ARBA00010683, ECO:0000256|PIRNR:PIRNR036470}.']	A0A3B6LWC0
FGENESH_gene1	tr|A0A3B6LXJ3|A0A3B6LXJ3_WHEAT	30.000	80	52	3	81	160	62	137	6.0	30.8	RecName: Full=Phospholipase D {ECO:0000256|ARBA:ARBA00012027, ECO:0000256|PIRNR:PIRNR036470}; EC=3.1.4.4 {ECO:0000256|ARBA:ARBA00012027, ECO:0000256|PIRNR:PIRNR036470};	Chromosome 5BChromosome 5B	Triticum aestivum (Wheat).	A0A3B6LXJ3_WHEAT	[{'ORFNames': ['CFC21_074856 {ECO:0000313|EMBL:KAF7069192.1}']}]	['Calcium', 'Hydrolase', 'Lipid degradation {ECO:0000256|ARBA:ARBA00022963,', 'ECO:0000256|PIRNR:PIRNR036470}', 'Lipid metabolism', 'Reference proteome']	['FUNCTION: Hydrolyzes glycerol-phospholipids at the terminal phosphodiesteric bond. {ECO:0000256|PIRNR:PIRNR036470}.', 'CATALYTIC ACTIVITY: Reaction=a 1,2-diacyl-sn-glycero-3-phosphocholine + H2O = a 1,2-diacyl-   sn-glycero-3-phosphate + choline + H(+); Xref=Rhea:RHEA:14445,   ChEBI:CHEBI:15354, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378,   ChEBI:CHEBI:57643, ChEBI:CHEBI:58608; EC=3.1.4.4;   Evidence={ECO:0000256|ARBA:ARBA00000798,   ECO:0000256|PIRNR:PIRNR036470};', 'COFACTOR: Name=Ca(2+); Xref=ChEBI:CHEBI:29108;   Evidence={ECO:0000256|ARBA:ARBA00001913,   ECO:0000256|PIRNR:PIRNR036470};', 'SIMILARITY: Belongs to the phospholipase D family. C2-PLD subfamily. {ECO:0000256|ARBA:ARBA00010683, ECO:0000256|PIRNR:PIRNR036470}.']	A0A3B6LXJ3
FGENESH_gene2	tr|A0A3B6IN35|A0A3B6IN35_WHEAT	36.538	52	33	0	272	323	39	90	0.036	37.7	RecName: Full=F-box domain-containing protein {ECO:0000259|PROSITE:PS50181};	Chromosome 4BChromosome 4B	Triticum aestivum (Wheat).	A0A3B6IN35_WHEAT	[{'ORFNames': ['CFC21_056889 {ECO:0000313|EMBL:KAF7048073.1}']}]	['Reference proteome']	[]	A0A3B6IN35
FGENESH_gene3	tr|A0A3B6JR29|A0A3B6JR29_WHEAT	100.000	621	0	0	1	621	87	707	0.0	1286	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 4DChromosome 4D	Triticum aestivum (Wheat).	A0A3B6JR29_WHEAT	[{'ORFNames': ['CFC21_063427 {ECO:0000313|EMBL:KAF7055962.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6JR29
FGENESH_gene3	tr|A0A3B6IWZ9|A0A3B6IWZ9_WHEAT	97.907	621	13	0	1	621	87	707	0.0	1264	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 4BChromosome 4B	Triticum aestivum (Wheat).	A0A3B6IWZ9_WHEAT	[{'ORFNames': ['CFC21_059383 {ECO:0000313|EMBL:KAF7051106.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6IWZ9
FGENESH_gene3	tr|A0A3B6KTP2|A0A3B6KTP2_WHEAT	98.390	621	10	0	1	621	87	707	0.0	1263	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 5AChromosome 5A	Triticum aestivum (Wheat).	A0A3B6KTP2_WHEAT	[{'ORFNames': ['CFC21_068949 {ECO:0000313|EMBL:KAF7062339.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6KTP2
FGENESH_gene3	tr|A0A3B6JRF2|A0A3B6JRF2_WHEAT	94.042	621	0	1	1	621	87	670	0.0	1189	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 4DChromosome 4D	Triticum aestivum (Wheat).	A0A3B6JRF2_WHEAT	[{'ORFNames': ['CFC21_063427 {ECO:0000313|EMBL:KAF7055963.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6JRF2
FGENESH_gene3	tr|A0A3B6KU33|A0A3B6KU33_WHEAT	92.432	621	10	1	1	621	87	670	0.0	1169	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 5AChromosome 5A	Triticum aestivum (Wheat).	A0A3B6KU33_WHEAT	[{'ORFNames': ['CFC21_068949 {ECO:0000313|EMBL:KAF7062340.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6KU33
FGENESH_gene3	tr|A0A1D5UGN6|A0A1D5UGN6_WHEAT	54.487	624	257	9	1	608	80	692	0.0	647	SubName: Full=Uncharacterized protein {ECO:0000313|EMBL:SPT19036.1};	Chromosome 2DChromosome iiChromosome 2D	Triticum aestivum (Wheat).	A0A1D5UGN6_WHEAT	[{'ORFNames': ['CAMPLR22A2D_LOCUS3650 {ECO:0000313|EMBL:SPT19036.1}', 'CFC21_030745 {ECO:0000313|EMBL:KAF7017276.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]	A0A1D5UGN6
FGENESH_gene3	tr|A0A3B6PP50|A0A3B6PP50_WHEAT	54.267	621	259	6	1	604	89	701	0.0	646	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6BChromosome 6B	Triticum aestivum (Wheat).	A0A3B6PP50_WHEAT	[{'ORFNames': ['CFC21_088425 {ECO:0000313|EMBL:KAF7084917.1}', 'CFC21_088426 {ECO:0000313|EMBL:KAF7084918.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6PP50
FGENESH_gene3	tr|A0A3B6C9M5|A0A3B6C9M5_WHEAT	54.487	624	257	8	1	608	83	695	0.0	644	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2BChromosome 2B	Triticum aestivum (Wheat).	A0A3B6C9M5_WHEAT	[{'ORFNames': ['CFC21_024428 {ECO:0000313|EMBL:KAF7009945.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]	A0A3B6C9M5
